                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 2.0124,                 1.6643,                 2.5541,                  0.652,                0.52857,                0.60608,                0.31667,                 2.0215,                 1.7964,                  2.721,               0.000482,               0.000482,               0.000482
                     48,                 2.0883,                 1.6119,                 2.6149,                0.71495,                0.53752,                 0.6214,                0.33326,                 1.9815,                 1.8949,                 2.6381,               0.000449,               0.000449,               0.000449
                     49,                 1.9878,                 1.7662,                 2.4928,                0.72484,                0.55714,                0.64654,                0.33964,                 1.9362,                 2.1163,                 2.5999,               0.000416,               0.000416,               0.000416
                     50,                 1.7185,                 1.4775,                 2.4481,                 0.6341,                    0.6,                0.65863,                0.35378,                 1.8908,                 2.0488,                  2.571,               0.000383,               0.000383,               0.000383
                     51,                 1.9836,                 2.2052,                 2.5763,                0.64016,                0.62857,                0.67214,                0.37421,                 1.8327,                  1.785,                 2.5409,                0.00035,                0.00035,                0.00035
                     52,                 1.6184,                 1.8962,                 2.3654,                0.74839,                0.58571,                0.68047,                0.39529,                 1.7765,                 1.6624,                 2.5526,               0.000317,               0.000317,               0.000317
                     53,                 1.7339,                 1.7625,                 2.4597,                0.69639,                0.58986,                0.69089,                0.40704,                  1.758,                 1.6435,                 2.5888,               0.000284,               0.000284,               0.000284
                     54,                  1.592,                 1.7188,                 2.3077,                0.85033,                0.51429,                0.68352,                0.41309,                 1.7501,                 1.6665,                 2.6216,               0.000251,               0.000251,               0.000251
                     55,                 1.8055,                 1.8706,                 2.6423,                0.81363,                0.51429,                0.67091,                0.41709,                 1.7371,                 1.6569,                 2.6191,               0.000218,               0.000218,               0.000218
                     56,                 1.6845,                   1.72,                 2.4124,                0.84286,                0.48571,                0.66571,                0.40904,                 1.7107,                 1.6422,                 2.6058,               0.000185,               0.000185,               0.000185
                     57,                 1.4447,                 1.7966,                  2.188,                0.79905,                0.48571,                0.66849,                 0.4146,                 1.6859,                 1.6163,                 2.5714,               0.000152,               0.000152,               0.000152
                     58,                 1.7956,                 1.7368,                 2.5235,                0.66657,                    0.6,                0.68647,                 0.4262,                 1.6621,                 1.6002,                 2.5484,               0.000119,               0.000119,               0.000119
                     59,                 1.6505,                 1.6961,                 2.4222,                0.66983,                0.63765,                0.70575,                 0.4377,                 1.6419,                 1.5644,                 2.5248,                8.6e-05,                8.6e-05,                8.6e-05
                     60,                 1.7974,                 1.9257,                 2.6099,                0.78125,                0.54286,                0.70582,                0.44322,                 1.6287,                 1.5418,                 2.5027,                5.3e-05,                5.3e-05,                5.3e-05
